SITE;GUILD;s_site_mean;s_site_std;n_site_mean;n_site_std;c_site_mean;c_site_std;FAMILY;PR;CG;HB;CF;SH;PA;TAXON;GENUS_2;HERB;PLAN;DETR;INVE;PISC;BAYDIST_KM;STAID;LAT_GAGE;LNG_GAGE;PPTAVG_SITE;HIRES_LENTIC_DENS;NPDES_MAJ_DENS;RAW_DIS_NEAREST_MAJ_NPDES;RAW_DIS_NEAREST_DAM;ELEV_SITE_M;STANAME;LATITUDE;LONGITUDE;NEAREST_BAY;SULFUR;S_PERCENT;CARBON;NITROGEN;N_PERCENT;C_PERCENT;GENUS;MAX_FORKLENGTH;MY_REP;DETAILS;TRAY;UID;SOURCE_TYPE;SPECIES;TROPHIC_LEVEL;SITE_TYPE;MIGRANT;carbon_s;nitrogen_s;sulfur_s
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.cyanellus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;7,35;0,92;-28,46193022;14,467293170;11,66;40,25;L;80;3;NA;NA;TERRG_2020_01_WM_Fish_L.cyanellus_80_3;NA;cyanellus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.cyanellus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;5,95;0,92;-27,96287938;15,176857620;12,75;43,19;L;80;4;NA;NA;TERRG_2020_01_WM_Fish_L.cyanellus_80_4;NA;cyanellus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.cyanellus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,45;0,90;-29,12797664;14,923553480;13,72;47,75;L;80;5;NA;NA;TERRG_2020_01_WM_Fish_L.cyanellus_80_5;NA;cyanellus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.cyanellus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,79;0,95;-29,15752916;15,585224150;12,77;44,43;L;80;6;NA;NA;TERRG_2020_01_WM_Fish_L.cyanellus_80_6;NA;cyanellus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.gulosus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,64;0,87;-26,85014155;15,320138730;14,25;46,13;L;80;1;NA;NA;TERRG_2020_01_WM_Fish_L.gulosus_80_1;NA;gulosus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.gulosus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,94;0,88;NA;NA;NA;NA;L;80;2;NA;NA;TERRG_2020_01_WM_Fish_L.gulosus_80_2;NA;gulosus;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.gulosus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,59;0,87;-27,61683572;14,720733130;13,62;47,49;L;120;1;NA;NA;TERRG_2020_01_WM_Fish_L.gulosus_120_1;NA;gulosus;3;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.gulosus;lepomis;0;0;0;1;1;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-27,74410899;15,674150090;14,22;47,04;L;120;2;NA;NA;TERRG_2020_01_WM_Fish_L.gulosus_120_2;NA;gulosus;3;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.humilis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;4,75;0,95;-28,57166025;14,644845410;13,69;45,93;L;80;1;NA;NA;TERRG_2020_01_WM_Fish_L.humilis_80_1;NA;humilis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,53;0,61;-28,35705705;14,717715980;10,78;38,46;L;40;1;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_40_1;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,71;0,80;-28,17174717;15,322150160;12,10;43,65;L;40;2;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_40_2;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;7,09;0,80;-28,41407547;14,713693130;11,13;40,67;L;40;3;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_40_3;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,47;0,84;-27,42236217;15,167270180;12,63;45,44;L;80;1;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_80_1;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,26;0,91;-29,09594478;14,908828650;16,00;53,01;L;120;1;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_120_1;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;7,02;0,86;-28,76315580;15,060346040;13,71;46,10;L;120;2;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_120_2;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;7,05;0,95;-28,33107748;15,224497110;13,10;42,92;L;120;3;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_120_3;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.macrochirus;lepomis;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,55;0,94;-26,82370581;14,859268580;14,55;47,40;L;160;1;NA;NA;TERRG_2020_01_WM_Fish_L.macrochirus_160_1;NA;macrochirus;1;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,85;0,92;-27,99952840;15,067623170;14,48;47,92;L;80;1;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_1;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;7,14;0,87;-27,69208388;15,265863460;13,09;44,00;L;80;2;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_2;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,91;0,92;-26,17420381;15,427692270;13,28;43,50;L;80;3;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_3;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
WM;Fish;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;L.megalotis;lepomis;0;0;0;1;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,49;0,92;-26,77382243;14,671142590;14,25;46,79;L;80;4;NA;NA;TERRG_2020_01_WM_Fish_L.megalotis_80_4;NA;megalotis;2;Stream;Potamodromous;0,000000000000000000;0,00000000000000000;0,00000000000000000
